Generation,Strain,0copy_mCherry,1copy_mCherry,Multicopy_mCherry,0copy_mCitrine,1copy_mCitrine,Multicopy_mCitrine 
87,DGY500_1,99.7,0,0,0,93.86,7.54
87,DGY500_2,100,0,0,0.04,95.12,6.14
87,DGY500_3,100,0,0,0.01,95.98,5.01
87,DGY1315_1,99.7,0.01,0,0.03,0.27,99.82
87,DGY1315_2,99.68,0,0,0.01,0.24,99.85
87,DGY1315_3,99.9,0,0,0.01,0.21,99.91
87,DGY1657_1,99.96,0,0,0.01,92.77,9.39
87,DGY1657_2,99.98,0,0,0.02,93.93,7.9
87,DGY1657_3,99.91,0,0.01,0.02,95.31,5.97
87,DGY2331_1,0.07,2.91,95.82,99.85,0,0.07
87,DGY2331_2,0.02,3.42,95.41,99.88,0,0.01
87,DGY2331_3,0.01,2.46,96.7,99.95,0,0
87,DGY2349_1,0.34,87.96,9.95,99.8,0.01,0.07
87,DGY2349_2,0.2,88.98,9.29,99.94,0,0
87,DGY2349_3,0.33,90.9,7.4,99.98,0.02,0
87,DGY2543_1,1.79,93.6,4.38,0.13,97.37,3.62
87,DGY2543_2,0.21,93.14,5.47,0.02,95.89,5.43
87,DGY2543_3,0.2,89.38,8.99,0.07,90.76,11.15
87,DGY2546_1,0.14,88.39,9.79,0.01,90.9,11.21
87,DGY2546_2,0.1,86.55,11.31,0.04,89.86,12.41
87,DGY2546_3,0.07,90.51,7.94,0.04,92.89,8.67
87,DGY1883_1,99.91,0,0.02,0.15,0.05,99.78
87,DGY1883_2,99.85,0.04,0.02,0.05,0.05,99.89
87,DGY1883_3,99.87,0,0.02,0.09,0.18,99.76
87,DGY1883_4,99.6,0.02,0.02,0.06,0.06,99.85
87,DGY1886_1,99.82,0,0.03,0.13,8.48,91.44
87,DGY1886_2,99.7,0,0.02,0.2,6.89,93.01
87,DGY1886_3,99.92,0,0,0.21,1.79,97.97
87,DGY1886_4,99.89,0.03,0,0.11,9.37,90.44
87,DGY1917_1,99.99,0,0,0.02,0.36,99.61
87,DGY1917_2,99.93,0,0.01,0.07,0.28,99.65
87,DGY1917_3,99.98,0.01,0,0.01,0.42,99.58
87,DGY1917_4,99.95,0,0,0.05,0.11,99.86
87,DGY1920_1,98.08,1.85,0.03,0.03,2.77,97.33
87,DGY1920_2,99.86,0.03,0.03,0,0.83,99.29
87,DGY1920_3,99.96,0,0,0.06,1.01,99.26
87,DGY1920_4,99.9,0,0,0.02,0.94,99.33
87,DGY1976_1,99.87,0,0.06,0.1,0.28,99.63
87,DGY1976_2,99.97,0,0,0,0.49,99.52
87,DGY1976_3,99.94,0.01,0,0.04,0.7,99.33
87,DGY1976_4,99.95,0,0,0.02,0.35,99.67
87,DGY1988_1,99.82,0.09,0.02,0.09,0.43,99.48
87,DGY1988_2,99.96,0,0.01,0.01,0.42,99.58
87,DGY1988_3,99.92,0.01,0.02,0.02,0.29,99.68
87,DGY1988_4,99.94,0.02,0,0.06,0.34,99.58
87,DGY2702_1,0.06,1.52,97.98,0.04,89.56,13.76
87,DGY2702_2,0.07,2.17,97.29,0.08,91.42,11.01
87,DGY2702_3,0.19,2.54,96.61,0.2,88.93,14.01
87,DGY2702_4,0.03,1.57,97.91,0.03,86.52,17.15
87,DGY2748_1,1.2,94.57,4.2,0.12,5.03,95.77
87,DGY2748_2,1.46,94.84,3.57,0.09,27.54,73.83
87,DGY2748_3,1.32,95.25,3.31,0.07,22.8,77.89
87,DGY2748_4,0.83,92.73,5.46,0.24,27.03,73.25
87,DGY2750_1,0.29,91.81,6.82,0.08,52.42,48.75
87,DGY2750_3,0.36,90.55,8.03,0.03,64.47,37.1
87,DGY2751_1,37.65,50.66,11.36,37.15,14,49.38
87,DGY2751_2,0.61,76.05,22.36,0.33,15.42,85.54
87,DGY2751_3,0.34,84.31,14.39,0.09,52.15,49.05
87,DGY2751_4,0.64,76.3,22.4,0.38,8.33,92.28
87,DGY2755_1,0.63,92.72,5.92,0.28,26.07,74.23
87,DGY2755_2,0.73,94.79,4.14,0.1,14.14,86.17
87,DGY2755_3,0.37,93.77,5.21,0.08,15.52,84.79
87,DGY2755_4,0.51,92.31,5.98,0.2,19.95,80.44
87,DGY2769_1,0.05,4.07,95.82,0.05,91.48,10.25
87,DGY2769_2,0.01,1.73,98.21,0.03,90.58,11.6
87,DGY2769_3,0.05,3.59,96.23,0.05,92.21,9.76
87,DGY2769_4,0.02,1.88,98.05,0.02,90.78,11.63
117,DGY1_1,98.84,0.01,0,100,0,0
117,DGY1_2,99.26,0.01,0,99.95,0,0
117,DGY1_3,99.99,0,0,99.97,0,0
117,DGY500_1,99,0.01,0,0.05,96.69,4.29
117,DGY500_2,98.5,0,0,0.11,97.37,3.46
117,DGY500_3,99.04,0,0.01,0.04,97.06,3.79
117,DGY1315_1,98.93,0.02,0,0.05,10.43,94.33
117,DGY1315_2,99.2,0,0,0.03,7.28,95.95
117,DGY1315_3,99.19,0,0,0.04,9.89,94.49
117,DGY1657_1,99.04,0,0,0.01,95.83,5.61
117,DGY1657_2,99.11,0,0.02,0,96.69,4.28
117,DGY1657_3,99.58,0,0,0.02,96.69,4.03
117,DGY2331_1,0.07,13.98,81.16,99.89,0.02,0.04
117,DGY2331_2,0.07,18.88,75.41,99.93,0.03,0
117,DGY2331_3,0,21.39,72.55,99.98,0,0.01
117,DGY2349_1,3.69,91.66,4.67,99.89,0.05,0.02
117,DGY2349_2,7.92,89.3,3.58,99.95,0,0
117,DGY2349_3,8.67,89.83,2.7,99.95,0,0
117,DGY2543_1,34.87,66,0.71,1.2,98.26,0.76
117,DGY2543_2,5.89,92.37,2.33,0.06,97.65,3.23
117,DGY2543_3,3.61,92.16,4.28,0.61,91.96,9.42
117,DGY2546_1,1.33,93.48,4.55,0.06,93.65,8.04
117,DGY2546_2,2.14,93.65,4.22,0.06,94.47,6.82
117,DGY2546_3,2.61,94.22,3.32,0.07,96.14,4.96
117,DGY1883_1,99.93,0.04,0.02,0.72,0.28,98.98
117,DGY1883_2,99.63,0.02,0,0.13,0.48,99.47
117,DGY1883_3,98.86,0,0,0.09,0.23,99.7
117,DGY1883_4,99.32,0,0,0,0.24,99.82
117,DGY1886_1,99.27,0.02,0,0.12,32.84,70.03
117,DGY1886_2,98.75,0,0.02,0.04,32.42,73.75
117,DGY1886_3,99.24,0,0,0.15,17.02,86.7
117,DGY1886_4,99.58,0.04,0.02,0.07,40.66,65.17
117,DGY1917_1,99.69,0,0,0.01,0.54,99.46
117,DGY1917_2,99.31,0,0,0.46,0.39,99.16
117,DGY1917_3,99.37,0,0,0.02,0.57,99.41
117,DGY1917_4,99.52,0,0.01,0.03,0.27,99.69
117,DGY1920_1,98.67,0.92,0,0.09,28.13,82.86
117,DGY1920_2,98.97,0.02,0,0.45,37.06,77.3
117,DGY1920_3,99.69,0,0,0.08,19.06,89.32
117,DGY1920_4,99.3,0.02,0,0.08,16.65,90.91
117,DGY1976_1,99.02,0.03,0.02,0.11,0.64,99.25
117,DGY1976_2,99.79,0,0,0.02,0.53,99.45
117,DGY1976_3,99.27,0.02,0,0.08,1.05,98.88
117,DGY1976_4,99.68,0,0.02,0.05,0.5,99.44
117,DGY1988_1,98.62,0.07,0.01,0.11,0.48,99.41
117,DGY1988_2,99.05,0.03,0,0.41,0.6,98.99
117,DGY1988_3,99.52,0,0,0.02,0.42,99.55
117,DGY1988_4,99.9,0.01,0.01,0.05,0.31,99.66
117,DGY2702_1,0.1,6.11,92.42,0.08,95.42,6.34
117,DGY2702_2,0.13,5.71,92.55,0.08,93.26,8.71
117,DGY2702_3,0.07,7.85,90.17,0.08,92.85,8.94
117,DGY2702_4,0.12,4.65,93.92,0.1,91.28,10.86
117,DGY2748_1,11.31,90.37,1.71,0.06,8.14,93.99
117,DGY2748_2,14.46,87.28,1.82,0.16,47.07,56.79
117,DGY2748_3,7.6,92.9,1.69,0.12,31.62,70.11
117,DGY2748_4,20.05,83.2,0.93,0.86,43.78,59.4
117,DGY2750_1,1.81,94.05,4.18,0.04,66.22,34.89
117,DGY2750_3,1.33,93.22,5.02,0.05,73.94,27.6
117,DGY2751_1,74.96,24.65,0.76,73.48,10.25,16.58
117,DGY2751_2,8.14,90.94,2.84,0.19,34.7,68
117,DGY2751_3,3.74,93.77,3.16,0,74.7,26.58
117,DGY2751_4,5.59,92.13,3.71,0.15,19.1,83.22
117,DGY2755_1,17.22,84.6,2.26,1.32,44.82,56.34
117,DGY2755_2,5.12,93.57,2.87,0.06,18.78,82.15
117,DGY2755_3,3.07,94.51,3.24,0.1,21,79.67
117,DGY2755_4,5.55,92.75,2.95,0.09,26.2,74.76
117,DGY2769_1,0.05,6.48,93.4,0,93.9,7.36
117,DGY2769_2,0.05,3.21,96.69,0.01,94.65,6.6
117,DGY2769_3,0.18,6.45,93.28,0.06,94.79,6.55
117,DGY2769_4,0.12,2.8,96.99,0.07,93.13,8.47
135,DGY1_1,99.99,0.01,0,99.91,0,0
135,DGY1_2,99.99,0,0,99.92,0,0
135,DGY1_3,100,0,0,99.93,0,0
135,DGY500_1,99.99,0.01,0,0.08,88.61,13.17
135,DGY500_2,99.99,0,0,0.15,89.12,12.81
135,DGY500_3,100,0,0,0.02,90.37,11.54
135,DGY1315_1,100,0,0,0.01,0.07,99.95
135,DGY1315_2,100,0,0,0.01,0.17,99.92
135,DGY1315_3,99.99,0.01,0,0.06,0.12,99.85
135,DGY1657_1,100,0,0,0.03,89.36,12.47
135,DGY1657_2,99.99,0,0,0,91.07,10.49
135,DGY1657_3,100,0,0,0,92.33,9.37
135,DGY2331_1,0.11,5.16,94.12,99.83,0,0.09
135,DGY2331_2,0.01,3.52,95.74,99.94,0,0
135,DGY2331_3,0.03,12.79,85.53,99.95,0,0
135,DGY2349_1,0.44,87.19,10.66,99.68,0.01,0.15
135,DGY2349_2,2.19,89.45,7.65,99.96,0,0
135,DGY2349_3,0.82,91.86,6.29,99.93,0,0
135,DGY2543_1,3.88,91.18,4.26,2.69,93.61,4.46
135,DGY2543_2,0.09,90.63,8.01,0.02,92.49,9.05
135,DGY2543_3,1.51,86.71,10.01,1.44,87.93,12.66
135,DGY2546_1,0.08,84.59,13.01,0.04,85.15,16.97
135,DGY2546_2,0.21,86.9,11.13,0.05,88.71,13.42
135,DGY2546_3,0.24,86.44,11.31,0.06,88.47,13.43
135,DGY1883_1,100,0,0,0.18,0.22,99.57
135,DGY1883_2,100,0,0,0.07,0.41,99.52
135,DGY1883_3,99.95,0,0,0.1,0.37,99.53
135,DGY1883_4,99.95,0.03,0,0.05,0.24,99.66
135,DGY1886_1,99.97,0,0,0.11,43.34,56.93
135,DGY1886_2,99.92,0.03,0,0,29.19,71.09
135,DGY1886_3,99.88,0.06,0,0.16,19.71,80.45
135,DGY1886_4,100,0,0,0.09,40.3,60.02
135,DGY1917_1,100,0,0,0.02,0.92,99.08
135,DGY1917_2,100,0,0,0.11,0.8,99.05
135,DGY1917_3,99.98,0.01,0,0.04,0.58,99.38
135,DGY1917_4,100,0,0,0,0.35,99.65
135,DGY1920_1,99.29,0.71,0,0.04,1.41,98.63
135,DGY1920_2,99.95,0.05,0,0.76,0.94,98.62
135,DGY1920_3,99.94,0,0,0.06,0.65,99.57
135,DGY1920_4,99.98,0.02,0,0.1,0.77,99.33
135,DGY1976_1,99.96,0.01,0.02,0.05,0.71,99.26
135,DGY1976_2,100,0,0,0.02,0.7,99.3
135,DGY1976_3,100,0,0,0.06,1.1,98.87
135,DGY1976_4,100,0,0,0,0.43,99.58
135,DGY1988_1,99.98,0.02,0,0.03,0.35,99.63
135,DGY1988_2,99.99,0,0.01,1.15,0.53,98.34
135,DGY1988_3,100,0,0,0,0.3,99.71
135,DGY1988_4,100,0,0,0.03,0.44,99.52
135,DGY2702_1,0.05,1.72,97.99,0.05,81.57,23.83
135,DGY2702_2,0.06,2.27,97.35,0.05,82.44,20.78
135,DGY2702_3,0.03,2.67,96.82,0.04,81.7,22.24
135,DGY2702_4,0.02,1.69,98.01,0.05,78.77,26.05
135,DGY2748_1,0.71,95.47,3.42,0.13,5.67,94.53
135,DGY2748_2,1.71,94.97,3.21,0.23,40.74,64.93
135,DGY2748_3,0.55,92.93,5.6,0.09,28.45,72.19
135,DGY2748_4,2.33,91.01,5.93,1.77,35.8,63.44
135,DGY2750_1,0.12,88.4,9.66,0.06,65.31,36.62
135,DGY2750_3,0.06,87.23,10.86,0.05,71.24,31.13
135,DGY2751_1,82.8,15.25,1.12,83.2,6.31,10.44
135,DGY2751_2,0.32,91.45,6.84,0.09,35.12,65.97
135,DGY2751_3,0.23,91.61,7.04,0.02,75.05,26.69
135,DGY2751_4,0.39,92.3,6.03,0.12,17,83.31
135,DGY2755_1,2.48,89.03,7.39,1.88,43.41,56.68
135,DGY2755_2,0.36,89.04,8.96,0.09,16.57,84.08
135,DGY2755_3,0.17,88.99,9.16,0.1,19.31,81.4
135,DGY2755_4,0.12,86.84,10.97,0.05,26.83,74.49
135,DGY2769_1,0.06,7.3,92.23,0.05,85.25,17.73
135,DGY2769_2,0.04,3.52,96.35,0.03,84.2,18.75
135,DGY2769_3,0.04,6.93,92.73,0.02,86.47,16.6
135,DGY2769_4,0.06,3.8,96.06,0.06,85.58,17.5
147,DGY1_1,99.98,0.02,0,99.98,0,0
147,DGY1_2,99.97,0.01,0,99.96,0,0
147,DGY1_3,100,0,0,99.99,0,0
147,DGY500_1,99.99,0,0,0.2,90.71,10.54
147,DGY500_2,99.92,0.06,0.01,0.38,92.9,8.14
147,DGY500_3,99.99,0,0,0.09,97.29,3.44
147,DGY1315_1,99.98,0.02,0,0.08,1.02,99.36
147,DGY1315_2,99.96,0.03,0,0.05,4.13,97.46
147,DGY1315_3,100,0,0,0.07,1.65,98.96
147,DGY1657_1,99.96,0.01,0.01,0.03,93,8.27
147,DGY1657_2,99.97,0,0,0.06,96.26,4.64
147,DGY1657_3,99.98,0.02,0,0.05,96.92,3.86
147,DGY2331_1,0.07,14.61,82.93,99.93,0.01,0.03
147,DGY2331_2,0.03,15.84,80.62,99.97,0,0
147,DGY2331_3,0.01,39.08,56.4,99.99,0,0
147,DGY2349_1,1.85,92.67,5.13,99.86,0.01,0.1
147,DGY2349_2,12.2,88.74,1.41,100,0,0
147,DGY2349_3,6.33,93.23,1.89,99.98,0,0.01
147,DGY2543_1,13.63,86.98,1.01,0.43,98.33,1.53
147,DGY2543_2,2.03,95.85,2.21,0.06,97.61,2.86
147,DGY2543_3,3.86,93.43,2.64,2.76,93.21,5.38
147,DGY2546_1,0.6,93.32,5.28,0.08,91.61,10.01
147,DGY2546_2,1.41,94.13,4.14,0.09,93.18,8.19
147,DGY2546_3,0.93,94.05,4.55,0.06,94.27,7.06
147,DGY1883_1,99.98,0.02,0,0.23,0.15,99.61
147,DGY1883_2,99.98,0,0.02,0.05,0.07,99.85
147,DGY1883_3,99.95,0.03,0.02,0.07,0.12,99.77
147,DGY1883_4,99.92,0.08,0,0.1,0.14,99.67
147,DGY1886_1,99.94,0.02,0.04,0.1,49.21,51.87
147,DGY1886_2,99.94,0.02,0,0.08,33.21,68.62
147,DGY1886_3,99.95,0,0.02,0.1,24.12,77.07
147,DGY1886_4,99.95,0.02,0,0.07,44.28,56.34
147,DGY1917_1,99.99,0,0.01,0.05,0.6,99.39
147,DGY1917_2,100,0,0,0.13,0.54,99.33
147,DGY1917_3,99.99,0,0,0.04,0.87,99.06
147,DGY1917_4,99.99,0.01,0,0.01,0.35,99.65
147,DGY1920_1,97.73,2.32,0.03,0.06,5.25,96.02
147,DGY1920_2,99.98,0,0,0.11,3.31,98.47
147,DGY1920_3,100,0,0,0.11,3.07,98.35
147,DGY1920_4,99.98,0,0,0.12,2.11,99.09
147,DGY1976_1,99.88,0.03,0.09,0.15,0.82,98.99
147,DGY1976_2,99.93,0.02,0.03,0.09,0.72,99.17
147,DGY1976_3,99.99,0,0.01,0.13,0.93,98.94
147,DGY1976_4,99.97,0,0.03,0.06,0.56,99.36
147,DGY1988_1,99.93,0.07,0,0.11,0.53,99.36
147,DGY1988_2,100,0,0,0.2,0.45,99.36
147,DGY1988_3,99.94,0.04,0.01,0.08,0.43,99.49
147,DGY1988_4,99.99,0,0,0.03,0.36,99.62
147,DGY2702_1,0.13,4.83,93.93,0.11,91.53,10.49
147,DGY2702_2,0.1,5.13,93.68,0.09,91.62,10.12
147,DGY2702_3,0.09,8.61,90.07,0.05,88.02,14.34
147,DGY2702_4,0.17,3.61,95.24,0.14,86.13,16.52
147,DGY2748_1,4.72,95.48,1.44,0.06,7.93,93.72
147,DGY2748_2,9,93.26,0.91,0.11,56.96,52.31
147,DGY2748_3,2.94,95.64,2.3,0.14,32.51,68.54
147,DGY2748_4,3.98,94.27,2.49,0.59,39.75,61.37
147,DGY2750_1,0.7,94.58,4.43,0.09,70.99,30.41
147,DGY2750_3,0.8,94.4,4.54,0.07,76.12,25.31
147,DGY2751_1,88.27,11.58,0.27,87.91,5.18,7.02
147,DGY2751_2,3.19,95.92,1.74,0.24,44.1,57.3
147,DGY2751_3,1.61,95.73,3.04,0.04,79.56,21.87
147,DGY2751_4,2.88,95.17,2.51,0.11,21.7,79.84
147,DGY2755_1,7.16,93.29,1.63,0.38,60.3,42.29
147,DGY2755_2,2.42,95.8,2.35,0.08,20.57,79.93
147,DGY2755_3,1.8,95.37,2.92,0.06,27.01,73.66
147,DGY2755_4,2.88,94.54,3.39,0.23,34.1,66.66
147,DGY2769_1,0.28,10.16,89.26,0.13,92.18,9.08
147,DGY2769_2,0.11,3.95,95.83,0.06,92.87,8.35
147,DGY2769_3,0.14,8.45,91.31,0.04,92.7,8.74
147,DGY2769_4,0.14,4.14,95.69,0.05,93.01,8.57
159,DGY1_1,99.18,0,0,100,0,0
159,DGY1_2,99.44,0.03,0.03,99.94,0.03,0
159,DGY1_3,99.52,0,0,100,0,0
159,DGY500_1,99.32,0,0.01,0.08,89.91,11.84
159,DGY500_2,99.34,0.06,0.01,0.26,95.96,4.65
159,DGY500_3,99.05,0.01,0.01,0.07,97.59,2.84
159,DGY1315_1,99.52,0.02,0,0.04,2.1,98.81
159,DGY1315_2,99.45,0,0.01,0.07,16.18,89.68
159,DGY1315_3,99.08,0.02,0,0.14,3.78,97.64
159,DGY1657_1,99.51,0,0,0.03,95.62,5.27
159,DGY1657_2,99.33,0,0,0.05,97.21,3.44
159,DGY1657_3,99.43,0,0.01,0.02,97.43,3.27
159,DGY2331_1,0.06,17.43,79.66,99.91,0.03,0.04
159,DGY2331_2,0.06,15.94,80.61,99.91,0.06,0
159,DGY2331_3,0.02,43.01,52.96,100,0,0
159,DGY2349_1,1.78,90.69,6.67,99.92,0,0.05
159,DGY2349_2,20.06,81.42,1.9,100,0,0
159,DGY2349_3,5.04,92.46,3.04,99.96,0.03,0
159,DGY2543_1,44.2,56.86,0.66,2.1,97.29,0.71
159,DGY2543_2,2.74,93.81,3.12,0.06,97.6,2.81
159,DGY2543_3,5.26,90.62,3.71,4.07,92.58,4.19
159,DGY2546_1,1.23,90.3,7.2,0.08,94.54,6.47
159,DGY2546_2,2.3,93.67,3.71,0.06,96.61,4.17
159,DGY2546_3,1.28,93.36,4.59,0.09,96.58,4.13
159,DGY1883_1,99.22,0,0.02,1.19,0.15,98.68
159,DGY1883_2,99.37,0,0,0.08,0.16,99.78
159,DGY1883_3,99.36,0,0.02,0.09,0.13,99.79
159,DGY1883_4,99.28,0,0,0,0.19,99.79
159,DGY1886_1,99.65,0,0.02,0.11,66.15,36.17
159,DGY1886_2,99.42,0,0,0.04,38.06,63.27
159,DGY1886_3,99.58,0.02,0,0.2,33.56,68.11
159,DGY1886_4,99.31,0,0,0.07,53.22,47.97
159,DGY1917_1,99.63,0,0,0.04,1.08,98.89
159,DGY1917_2,99.59,0.02,0,0.15,0.75,99.2
159,DGY1917_3,99.44,0,0.01,0.01,0.96,99.05
159,DGY1917_4,99.83,0,0,0.01,0.45,99.56
159,DGY1920_1,98.38,0.81,0.02,0.07,47.54,65.89
159,DGY1920_2,99.78,0,0,0.67,4.46,97.35
159,DGY1920_3,99.62,0.02,0,0.04,4.62,97.84
159,DGY1920_4,99.41,0,0,0.06,4.07,97.94
159,DGY1976_1,99.46,0.04,0.01,0.07,0.81,99.14
159,DGY1976_2,99.72,0,0.01,0.04,0.81,99.16
159,DGY1976_3,99.69,0,0.01,0.02,1.17,98.78
159,DGY1976_4,99.38,0.03,0,0.05,0.69,99.24
159,DGY1988_1,99.78,0.02,0.01,0.05,0.69,99.29
159,DGY1988_2,99.85,0,0,0.84,0.45,98.71
159,DGY1988_3,99.97,0,0.01,0.03,0.52,99.49
159,DGY1988_4,99.78,0.01,0.01,0.08,0.5,99.44
159,DGY2702_1,0.12,3.36,95.95,0.11,92.95,8.8
159,DGY2702_2,0.1,4.54,94.33,0.1,95.07,6.11
159,DGY2702_3,0.05,7.68,90.94,0.03,94.44,6.67
159,DGY2702_4,0.04,4.02,94.87,0.05,90.88,10.85
159,DGY2748_1,3.41,92.91,3.9,0.16,13.06,90.98
159,DGY2748_2,13.88,86.25,2.77,0.19,58.34,47.29
159,DGY2748_3,2.05,93.73,4.12,0.09,34.42,67.7
159,DGY2748_4,3.8,88.12,6.76,3.6,40,57.54
159,DGY2750_1,0.31,92.12,6.49,0.01,75.8,25.43
159,DGY2750_3,0.21,93.83,5.1,0.05,81.07,19.74
159,DGY2751_1,91.96,7.67,0.24,92,3.76,4.3
159,DGY2751_2,0.63,95.57,3.35,0.12,46.09,55.14
159,DGY2751_3,0.5,94.55,4.42,0.06,81.38,19.64
159,DGY2751_4,1.31,95.17,3.25,0.14,24.77,76.7
159,DGY2755_1,8.95,88.5,2.91,5.54,65.01,32
159,DGY2755_2,1.28,94.62,3.61,0.11,21.77,79.75
159,DGY2755_3,1.52,91.71,6.03,0.12,25.93,75.61
159,DGY2755_4,1.79,88.85,8.14,0.09,43.58,58.52
159,DGY2769_1,0.04,11.11,88.51,0.04,92.48,9.06
159,DGY2769_2,0.14,4.23,95.49,0.14,94.44,6.6
159,DGY2769_3,0.13,10.4,89.32,0.08,94.03,7.28
159,DGY2769_4,0.03,5.02,94.8,0.01,93.67,7.61
177,DGY1_1,99.99,0,0,99.94,0,0
177,DGY1_2,99.95,0.02,0,99.94,0,0
177,DGY1_3,100,0,0,99.97,0,0
177,DGY500_1,99.95,0.03,0.01,0.11,91.95,9.07
177,DGY500_2,99.91,0.07,0,0.49,93.61,6.75
177,DGY500_3,99.96,0.04,0,0.08,97.76,2.55
177,DGY1315_1,99.91,0.04,0.04,0.11,0.61,99.47
177,DGY1315_2,99.97,0.03,0,0.03,13.04,92.72
177,DGY1315_3,99.97,0,0.01,0.15,0.92,99.43
177,DGY1657_1,99.99,0,0,0.04,96.14,4.48
177,DGY1657_2,99.97,0.01,0,0.01,97.37,3.08
177,DGY1657_3,99.99,0,0,0,97.38,3.22
177,DGY2331_1,0.09,27.27,69.43,99.77,0.06,0.06
177,DGY2331_2,0.01,20.79,75.97,99.96,0.01,0
177,DGY2331_3,0.07,62.83,32.89,99.98,0,0
177,DGY2349_1,0.21,93.62,5.21,99.85,0.01,0.03
177,DGY2349_2,0.07,94.35,1.07,99.93,0,0.02
177,DGY2349_3,0.05,96.2,1.57,99.98,0,0
177,DGY2543_1,23.07,43.94,0.38,0.5,98.99,0.61
177,DGY2543_2,0.89,91.43,1.27,0.07,98.82,1.43
177,DGY2543_3,8.23,88.24,2.86,8.2,88.56,3.86
177,DGY2546_1,0.06,93.77,5.23,0.04,93.29,7.99
177,DGY2546_2,0.07,95.22,3.95,0.07,93.94,6.95
177,DGY2546_3,0.1,95.16,3.89,0.07,95.22,5.71
177,DGY1883_1,99.97,0.02,0,0.1,0.1,99.81
177,DGY1883_2,100,0,0,0.03,0.23,99.73
177,DGY1883_3,99.98,0.02,0,0.12,0.14,99.76
177,DGY1883_4,99.94,0.04,0,0.04,0.15,99.83
177,DGY1886_1,99.95,0,0.03,0.02,70.74,31.32
177,DGY1886_2,99.98,0.02,0,0.07,41.1,59.66
177,DGY1886_3,99.94,0.02,0.02,0.13,42.47,59.56
177,DGY1886_4,99.97,0,0,1,60.34,39.91
177,DGY1917_1,100,0,0,0.04,0.9,99.07
177,DGY1917_2,99.98,0,0.02,0.24,0.84,98.94
177,DGY1917_3,99.99,0.01,0,0.03,0.63,99.35
177,DGY1917_4,99.96,0.03,0.01,0.07,0.39,99.54
177,DGY1920_1,94.25,5.57,0.05,0.03,6.49,93.8
177,DGY1920_2,100,0,0,0.44,1.48,98.56
177,DGY1920_3,100,0,0,0.05,1.14,99.12
177,DGY1920_4,99.97,0,0.02,0.02,0.88,99.41
177,DGY1976_1,99.91,0.03,0.04,0.1,0.72,99.18
177,DGY1976_2,100,0,0,0.03,0.93,99.04
177,DGY1976_3,99.97,0,0,0.07,0.83,99.09
177,DGY1976_4,99.99,0,0.01,0.06,0.69,99.26
177,DGY1988_1,99.95,0.04,0,0.09,0.54,99.39
177,DGY1988_2,100,0,0,0.9,0.43,98.64
177,DGY1988_3,99.98,0,0,0.05,0.19,99.76
177,DGY1988_4,100,0,0,0.05,0.35,99.61
177,DGY2702_1,0.08,3.16,96.24,0.04,91.3,11.19
177,DGY2702_2,0.03,5.79,93.1,0.01,92.33,9.73
177,DGY2702_3,0.07,10.21,88.22,0.07,90.29,11.85
177,DGY2702_4,0.11,3.69,95.62,0.08,85.62,17.86
177,DGY2748_1,0.31,97.68,1.55,0.05,7.59,93.4
177,DGY2748_2,0.32,98.53,0.94,0.12,69.25,40.14
177,DGY2748_3,0.04,95.71,3.73,0.01,31.27,69.52
177,DGY2748_4,1.87,92.62,4.54,1.89,43.55,55.91
177,DGY2750_1,0.09,92.13,6.56,0.07,77.32,24.5
177,DGY2750_3,0.02,92.9,5.9,0.02,81.76,19.57
177,DGY2751_1,94.85,4.96,0.14,94.72,2.91,2.36
177,DGY2751_2,0.14,96.01,3.31,0.13,48.15,52.57
177,DGY2751_3,0.05,95.28,3.96,0.04,82.77,18.34
177,DGY2751_4,0.09,96.44,2.96,0.05,23.91,76.88
177,DGY2755_1,2.71,95.16,1.79,2.54,74.48,26.72
177,DGY2755_2,0.13,96.21,3.12,0.08,21.57,78.85
177,DGY2755_3,0.11,95.82,3.31,0.06,29.06,71.53
177,DGY2755_4,0.03,93.92,5.33,0.04,60.12,41.22
177,DGY2769_1,0.21,13.19,86.18,0.2,92.45,8.65
177,DGY2769_2,0.14,4.11,95.45,0.12,92.88,8.52
177,DGY2769_3,0.04,11.4,88.42,0.04,92.51,8.93
177,DGY2769_4,0.12,5.89,93.91,0.09,93.52,7.72
195,DGY1_1,99.88,0.03,0.09,99.8,0.09,0
195,DGY1_2,99.95,0.02,0.03,99.93,0.03,0
195,DGY1_3,99.96,0,0.03,99.96,0.03,0
195,DGY500_1,99.84,0.05,0.09,0.17,89.07,12.32
195,DGY500_2,99.83,0.1,0.07,0.69,91.03,9.23
195,DGY500_3,99.91,0.03,0.04,0.06,97.99,2.57
195,DGY1315_1,99.64,0.02,0.32,0.02,0.78,99.35
195,DGY1315_2,99.89,0,0.11,0.09,15.05,91.68
195,DGY1315_3,99.92,0.03,0.04,0.08,0.9,99.39
195,DGY1657_1,99.95,0,0.02,0,95.18,5.48
195,DGY1657_2,99.92,0.02,0.06,0.08,96.79,3.62
195,DGY1657_3,99.9,0.02,0.05,0.05,96.9,3.61
195,DGY2331_1,0.09,27.51,68.59,99.83,0.05,0.09
195,DGY2331_2,0.02,19.27,77.97,99.88,0.09,0
195,DGY2331_3,0.1,55.04,40.74,99.94,0.06,0
195,DGY2349_1,3.12,91.83,4.83,99.81,0.04,0.13
195,DGY2349_2,24.23,79.72,1.28,99.98,0,0
195,DGY2349_3,9.06,92.02,1.27,99.98,0.02,0
