Generation,Strain,0copy_mCherry,1copy_mCherry,Multicopy_mCherry,0copy_mCitrine,1copy_mCitrine,Multicopy_mCitrine 
21,DGY2349_1,0.24,89.28,9.13,99.84,0.01,0.07
21,DGY2349_2,0.08,92.04,6.68,99.97,0,0
21,DGY2349_3,0.08,91.98,6.67,99.95,0,0
21,DGY2543_1,0.2,92.48,6.41,0.04,91.6,9.9
21,DGY2543_2,0.41,93.42,5.45,0.02,92.85,8.58
21,DGY2543_3,0.2,93.36,5.52,0.03,93.01,8.57
21,DGY2546_1,0.26,92.07,6.81,0.05,91.16,10.58
21,DGY2546_2,0.2,92.51,6.22,0.02,92.91,8.76
21,DGY2546_3,0.27,92.3,6.53,0.05,92.49,9.13
21,DGY1883_1,54.52,36.03,9.23,0.37,0.42,99.19
21,DGY1883_2,57.59,36.48,6.11,0.26,0.42,99.32
21,DGY1883_3,62.99,34.08,2.95,0.3,0.22,99.48
21,DGY1883_4,72.73,25.68,1.36,0.28,0.36,99.36
21,DGY1886_1,88.09,8.49,2.53,0.94,1.31,97.66
21,DGY1886_2,90.08,6.84,1.52,1.27,1.37,97.11
21,DGY1886_3,93.21,4.35,0.75,1.05,0.95,97.85
21,DGY1886_4,96.02,2.14,0.6,0.8,0.9,98.11
21,DGY1917_1,98.83,1.14,0.07,0.13,0.17,99.7
21,DGY1917_2,99.24,0.68,0.06,0.12,0.05,99.79
21,DGY1917_3,99.8,0.1,0.05,0.04,0.18,99.78
21,DGY1917_4,99.76,0.09,0.05,0.17,0.08,99.76
21,DGY1920_1,98.42,0.15,0.05,0.22,7.69,95.57
21,DGY1920_2,98.15,0.22,0.15,0.12,6.45,96.7
21,DGY1920_3,98.54,0.1,0.05,0.07,5.06,97.67
21,DGY1920_4,98.77,0.11,0.02,0.07,4.61,97.63
21,DGY1976_1,99.89,0.02,0,0,0.1,99.89
21,DGY1976_2,99.91,0.03,0,0.02,0.22,99.76
21,DGY1976_3,99.9,0.06,0,0.08,0.52,99.41
21,DGY1976_4,99.91,0.04,0.02,0.06,0.18,99.75
21,DGY1988_1,99.9,0.01,0.06,0.05,0.13,99.83
21,DGY1988_2,99.95,0.01,0.02,0.01,0.18,99.82
21,DGY1988_3,99.92,0,0.02,0.02,0.13,99.85
21,DGY1988_4,99.96,0,0,0.01,0.16,99.81
21,DGY2702_1,0.05,6.12,91.87,0.04,92.04,10.19
21,DGY2702_2,0.06,5.13,92.86,0.06,90.51,11.56
21,DGY2702_3,0.02,5.32,92.72,0.02,89.49,12.69
21,DGY2702_4,0.09,3.11,95.39,0.08,88.17,14.35
21,DGY2748_1,1.95,50.43,44.65,0.81,8.74,93.49
21,DGY2748_2,1.36,30,64.25,0.81,12.72,90.21
21,DGY2748_3,1.82,31.76,61.66,1.17,12.45,90.39
21,DGY2748_4,6.52,26.17,64.37,6.16,9.01,87.6
21,DGY2750_1,2.7,23.15,70.51,1.72,10.27,89.41
21,DGY2750_3,1.51,20.83,74.9,1.06,10.94,90.15
21,DGY2751_1,1.46,9.55,86.08,0.91,8.23,94.48
21,DGY2751_2,1.44,7.77,88.18,0.77,7.59,94.95
21,DGY2751_3,0.83,7.18,89.16,0.5,6.35,96.54
21,DGY2751_4,0.88,6,90.87,0.63,4.49,96.72
21,DGY2755_1,2.06,24.22,71.17,1.27,24.37,75.18
21,DGY2755_2,2.52,23.22,71.57,1.24,7.1,92.6
21,DGY2755_3,2.34,25.77,68.77,1.21,8.22,91.78
21,DGY2755_4,2.29,22.25,72.32,1.22,7.88,91.96
21,DGY2769_1,0.05,0.89,99.05,0.04,89.93,12.8
21,DGY2769_2,0.01,0.18,99.81,0.01,88.55,14.54
21,DGY2769_3,0.04,1.19,98.77,0.02,89.4,13.13
21,DGY2769_4,0.02,0.18,99.78,0.02,88.69,14.42
33,DGY1_1,99.95,0,0.04,99.96,0,0
33,DGY1_2,99.95,0,0.04,99.91,0,0.01
33,DGY1_3,99.99,0,0.01,99.95,0.01,0
33,DGY500_1,100,0,0,0,93.25,8.22
33,DGY500_2,100,0,0,0,95.37,6.04
33,DGY500_3,99.99,0,0.01,0.03,96.33,4.89
33,DGY1315_1,99.99,0,0.01,0,0.48,99.74
33,DGY1315_2,99.97,0,0.02,0.02,1.35,99.32
33,DGY1315_3,100,0,0,0,0.38,99.82
33,DGY1657_1,100,0,0,0.04,94.71,6.73
33,DGY1657_2,99.99,0,0.01,0,94.7,7.02
33,DGY1657_3,99.98,0,0.02,0.05,95.49,5.9
33,DGY2331_1,0.01,9.05,86.75,99.96,0,0.01
33,DGY2331_2,0.01,10.56,85.06,99.96,0,0
33,DGY2331_3,0,17.24,76.44,99.94,0.02,0
33,DGY2349_1,0.32,91.46,7.17,99.95,0.01,0.01
33,DGY2349_2,0.78,94.35,4.29,99.95,0,0.01
33,DGY2349_3,0.5,94.77,4.08,99.94,0.01,0
33,DGY2543_1,1,92.76,5.44,0.67,89.35,11.82
33,DGY2543_2,0.65,94.78,4.22,0.03,91.03,11.06
33,DGY2543_3,0.36,94.43,4.71,0.05,91.52,10.16
33,DGY2546_1,0.39,94.66,4.29,0.02,92.02,10.09
33,DGY2546_2,1.65,94.75,3.63,0.05,93.12,8.57
33,DGY2546_3,1.04,94.78,3.92,0.04,92.32,9.23
33,DGY1883_1,99.95,0,0.05,0.2,0.2,99.61
33,DGY1883_2,100,0,0,0.1,0.14,99.72
33,DGY1883_3,99.98,0.02,0,0.07,0.24,99.67
33,DGY1883_4,99.98,0.02,0,0.07,0.12,99.78
33,DGY1886_1,99.97,0,0.03,0.1,1.16,98.7
33,DGY1886_2,99.91,0.06,0.03,0.19,1.36,98.39
33,DGY1886_3,99.84,0.1,0,0.26,1.6,98.1
33,DGY1886_4,99.85,0.08,0.04,0.12,1.08,98.76
33,DGY1917_1,99.97,0.02,0.01,0.05,0.21,99.75
33,DGY1917_2,99.99,0,0.01,0.02,0.06,99.92
33,DGY1917_3,99.99,0.01,0,0.02,0.2,99.78
33,DGY1917_4,100,0,0,0.01,0.06,99.94
33,DGY1920_1,99.94,0,0.02,0.04,4.74,96.8
33,DGY1920_2,99.98,0.02,0,0.07,4.01,97.32
33,DGY1920_3,99.93,0.05,0,0.05,4.39,97.09
33,DGY1920_4,99.9,0,0.05,0.08,3.22,97.49
33,DGY1976_1,99.98,0.01,0.01,0.03,0.28,99.67
33,DGY1976_2,100,0,0,0.01,0.17,99.82
33,DGY1976_3,99.99,0,0.01,0.03,0.43,99.56
33,DGY1976_4,100,0,0,0,0.19,99.8
33,DGY1988_1,99.97,0.02,0.01,0.02,0.24,99.74
33,DGY1988_2,100,0,0,0.01,0.32,99.67
33,DGY1988_3,100,0,0,0.01,0.08,99.9
33,DGY1988_4,100,0,0,0,0.17,99.83
33,DGY2702_1,0.09,3.63,94.83,0.09,90.18,12.16
33,DGY2702_2,0.05,6.49,91.64,0.05,92.57,9.24
33,DGY2702_3,0.05,6.64,91.64,0.04,92.7,9.16
33,DGY2702_4,0.08,5.74,92.11,0.08,89.73,12.54
33,DGY2748_1,3.13,67.97,28.63,0.41,4.64,95.59
33,DGY2748_2,1.71,36.26,60.3,0.44,7.76,92.02
33,DGY2748_3,1.59,38.79,57.04,0.72,7.85,91.93
33,DGY2748_4,6.51,45.9,45.27,2.5,10.27,88.1
33,DGY2750_1,1.62,32.16,64.46,0.67,12.52,86.76
33,DGY2750_3,1.62,37.54,58.49,0.72,19.11,80.73
33,DGY2751_1,1.01,5.42,92.55,0.55,2.45,97.43
33,DGY2751_2,1.04,5,92.36,0.38,2.99,96.86
33,DGY2751_3,1.31,6.15,91.16,0.83,3.2,96.28
33,DGY2751_4,1.14,4.46,93.6,0.87,2.35,96.88
33,DGY2755_1,5.5,39.18,53.78,4.94,23.65,71.52
33,DGY2755_2,1.91,42.98,53.48,0.83,5.9,93.11
33,DGY2755_3,2.39,44.26,51.91,1.04,7.22,91.65
33,DGY2755_4,1.98,39.15,57.66,0.94,7.15,91.74
33,DGY2769_1,0.03,1.27,98.71,0.03,91.96,9.95
33,DGY2769_2,0,0.31,99.69,0.01,90.27,12.32
33,DGY2769_3,0.06,1.4,98.51,0.06,91.53,10.53
33,DGY2769_4,0.04,0.29,99.67,0.04,88.83,13.86
45,DGY1_1,100,0,0,99.99,0.01,0
45,DGY1_2,99.99,0.01,0,99.96,0,0
45,DGY1_3,100,0,0,100,0,0
45,DGY500_1,99.98,0,0.01,0,96.98,4.12
45,DGY500_2,99.99,0,0.01,0,97.95,2.75
45,DGY500_3,99.99,0.01,0,0.02,97.52,3.43
45,DGY1315_1,100,0,0,0.04,1.13,99.34
45,DGY1315_2,99.98,0.01,0.01,0.02,1.66,99.15
45,DGY1315_3,99.98,0.02,0,0.02,1.51,99.23
45,DGY1657_1,100,0,0,0.01,95.28,6.08
